"ImagesId"	"rightsHolder"	"license"	"references"
"1088921713"	"Robin Graves"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/1301440"
"1227769666"	"Steve Kerr"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/2549217"
"1265895473"	"Scott King"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/3042326"
"1453214505"	"Daniela T. Candia-Ramírez"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/4556508"
"1453400327"	"fairyeagle"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/5052587"
"1640092005"	"Jacob Littlejohn"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/7775475"
"1699395117"	"Nikolai Vladimirov"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/8657541"
"1703162673"	"hollythefrog"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/8803504"
"1802679912"	"hokoonwong"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/9119347"
"1802786468"	"nafin_ks"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/9395806"
"1838342752"	"Wynand Uys"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/10961154"
"1838353319"	"Wynand Uys"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/10994321"
"1838406086"	"Wynand Uys"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/11171014"
"1839274081"	"Stefano Doglio"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/1472441"
"1847416816"	"Wynand Uys"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/11154133"
"1848778452"	"Pasquale Buonpane"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/12978408"
"1850974775"	"Kim, Hyun-tae"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/13389272"
"1899792353"	"hokoonwong"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/15968749"
"1913703749"	"normfarmerimages"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/16685268"
"1920810392"	"Kim, Hyun-tae"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/17273668"
"1946339343"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/18644601"
"1948765036"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/18794906"
"1948779314"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/18840976"
"1948788822"	"Marcello Consolo"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/311586"
"1949986900"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/18772397"
"1978871786"	"زين _النجم"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/9889840"
"1986535790"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/19304697"
"1986634452"	"Sam Kieschnick"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/5858363"
"1990471880"	"Robby Deans"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/19566530"
"1990542153"	"羅忠良"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/19752763"
"1990646430"	"Antonio J. Pizarro Méndez"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/8791880"
"2005278862"	"Aaron Echols"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/19979973"
"2005329455"	"i_c_riddell"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/20319449"
"2005396444"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/20528804"
"2013681911"	"K Schneider"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/12691097"
"2028469784"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/21314338"
"2236887929"	"ftdoom"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/22530325"
"2238824388"	"Gilles San Martin"	"CC0_1_0"	"https://www.inaturalist.org/observations/23246453"
"2242750062"	"Franz Anthony"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/21255183"
"2242812536"	"toucan55"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/24461338"
"2242980039"	"Alan Kwok / Ada Tai"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/25093323"
"2242982232"	"Stefanie Lauritzen"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/25094933"
"2244210527"	"Buddy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/23193137"
"2251864766"	"giorege1959"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/25679083"
"2251900828"	"eliap"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/25799552"
"2283272102"	"Jen Sanford"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/28607995"
"2294418141"	"frankpierce"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/25680606"
"2294419634"	"simono"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/26045978"
"2294428741"	"bdemers76"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/27475642"
"2294755102"	"Jason Alexander"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/9830284"
"2311355605"	"Zygy"	"CC0_1_0"	"https://www.inaturalist.org/observations/29722028"
"2429381333"	"bugima1964"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/33875433"
"2444995440"	"Franz Anthony"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/30032790"
"2445004326"	"budak"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/6202386"
"2447999749"	"Alan Kwok / Ada Tai"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/35114022"
"2451585618"	"Buddy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/28752569"
"2451599466"	"eliap"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/34727749"
"2460057032"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/35881742"
"2465115103"	"Naufal Urfi Dhiya'ulhaq"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/30038130"
"2465242092"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/36128777"
"2517945806"	"Buddy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/20900882"
"2540778035"	"copper"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/36903530"
"2540781215"	"Bill Keim"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/36964317"
"2542962230"	"venus5026"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/9641254"
"2543076482"	"Ísis Meri Medri"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/37141196"
"2550035897"	"Ísis Meri Medri"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/37403231"
"2557731944"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/37187113"
"2573869710"	"Anne Hoggett"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/38531518"
"2574074643"	"Анатолий Озерной /Anatoliy Ozernoy"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/38110632"
"2574119132"	"Anubhav Agarwal"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/39139502"
"2579321761"	"blaserk"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/26912793"
"2579378654"	"Reiner Richter"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/39876304"
"2580256475"	"Douglas"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/39985636"
"2596069773"	"Kim, Hyun-tae"	"CC_BY_4_0"	"https://www.inaturalist.org/observations/22402591"
"2596099947"	"Md Jusri"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/37485630"
"2596288478"	"Pascal Dubois"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/40945874"
"2597683681"	"Chathuri Jayatissa"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/41617704"
"2597825901"	"giorege1959"	"CC_BY_NC_4_0"	"https://www.inaturalist.org/observations/41237325"
